,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
466,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
468,Melilla,ES,73.78,clear sky,35.2937,-2.9383,Hotel Anfora
470,Christchurch,NZ,62.91,broken clouds,-43.5333,172.6333,The George
471,Sinnamary,GF,79.9,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
472,Iquique,CL,60.84,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
473,Kikwit,CD,73.58,light rain,-5.041,18.8162,HOTEL PLACE YALABA
474,Jos,NG,65.57,light rain,9.9167,8.9,Silk Suites
475,Fortuna,US,68.94,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
476,Loa Janan,ID,72.46,overcast clouds,-0.583,117.095,Kost bu jono
477,Saint-Pierre,RE,65.88,scattered clouds,-21.3393,55.4781,Alize Plage
479,Odweyne,SO,74.28,light rain,9.4092,45.064,Eng Hiirey House
480,Enshi,CN,62.15,overcast clouds,30.3,109.4833,Moevenpick Enshi
482,Kupang,ID,77.58,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
484,Kolokani,ML,76.86,light rain,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
485,Katobu,ID,74.43,overcast clouds,-4.9408,122.5276,La Ode Husein
486,Ilhabela,BR,68.68,moderate rain,-23.7781,-45.3581,Ilha Flat Hotel
488,Tibiri,NE,83.41,broken clouds,13.5627,7.0485,FADA GAO FA TIBIRI
492,Diffa,NE,84.78,overcast clouds,13.3154,12.6113,ProDAF/Diffa
493,Longyan,CN,68.58,clear sky,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
494,Biltine,TD,80.11,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
498,Dingle,PH,75.58,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
499,Cairo,EG,81.36,clear sky,30.0626,31.2497,Grand Hotel
500,Tabou,CI,75.22,moderate rain,4.423,-7.3528,hotêl doufoulougou
502,Saint-Paul,RE,69.89,few clouds,-21.0096,55.2707,Boucan Canot
503,Willmar,US,62.55,clear sky,45.1219,-95.0433,Lakeview Inn
505,Liwan,PH,74.57,overcast clouds,17.5191,121.632,PARANG PARAISO RESORT AND FISHPOND
508,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
509,Benguela,AO,71.01,broken clouds,-12.5763,13.4055,Hotel Praia Morena
510,Quballat,TN,69.48,clear sky,36.5418,9.6633,Dar 3ezdin chalby
512,Port Hedland,AU,62.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
513,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
514,Pringsewu,ID,73.11,overcast clouds,-5.3582,104.9744,Urban Style by Front One
518,Springfield,US,82.22,clear sky,37.2153,-93.2982,Best Western Route 66 Rail Haven
520,Bowling Green,US,73.33,clear sky,36.9903,-86.4436,Hilton Garden Inn Bowling Green
521,Kouroussa,GN,72.09,light rain,10.65,-9.8833,Hotel Tando Plus
522,Ojinaga,MX,87.57,scattered clouds,29.5667,-104.4167,Suites Las Palmas
523,Illapel,CL,62.19,scattered clouds,-31.6308,-71.1653,Hotel Londres
524,Itarema,BR,78.3,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
526,Bereda,ES,60.42,overcast clouds,43.2686,-7.5406,Pazo de Verdes
527,Touros,BR,76.71,clear sky,-5.1989,-35.4608,INN NEW HORIZON
528,Bentiu,SS,74.73,clear sky,9.2333,29.8333,Mandela hôtel
529,Ambulu,ID,71.28,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
530,Kandrian,PG,80.49,overcast clouds,-6.2167,149.55,Kandrian Station
531,Sabha,LY,88.52,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
532,Weligama,LK,77.83,overcast clouds,5.9667,80.4167,Weligama Bay Resort
536,Tezu,IN,73.51,few clouds,27.9167,96.1667,Circuit House
537,Hasaki,JP,66.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
540,Senador Jose Porfirio,BR,81.77,broken clouds,-2.5908,-51.9542,Pousada Novo Horizonte
543,Saint Anthony,US,60.42,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
544,Nizwa,OM,78.89,clear sky,22.9333,57.5333,Orient Apartments
546,Nabire,ID,75.38,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
